word,x,y,x_mod,y_mod
seemingly,-8.219371796,-3.894933224,-82.19371796,-38.94933224
slight,20.32296944,-22.86310005,203.2296944,-228.6310005
average,20.83099365,-32.87348938,208.3099365,-328.7348938
temperature,30.03906059,-9.770997047,300.3906059,-97.70997047
rise,20.14857483,-20.67380333,201.4857483,-206.7380333
enough,21.52692986,-21.08180809,215.2692986,-210.8180809
cause,19.76134491,-22.32162285,197.6134491,-223.2162285
dramatic,20.03583717,-23.60164261,200.3583717,-236.0164261
transformation,20.33058929,-22.87506294,203.3058929,-228.7506294
planet,31.39274025,-34.16478729,313.9274025,-341.6478729
March,-31.19840622,10.25462532,-311.9840622,102.5462532
River,15.15587616,-39.92668533,151.5587616,-399.2668533
homes,21.08314705,-39.43948364,210.8314705,-394.3948364
City,-6.250363827,38.76900101,-62.50363827,387.6900101
Iowa,17.06022644,45.68257523,170.6022644,456.8257523
flood,15.72344208,45.55058289,157.2344208,455.5058289
Images,1.382911921,27.69717598,13.82911921,276.9717598
degrees,41.40350342,-37.32952881,414.0350342,-373.2952881
Fahrenheit,41.01047134,-37.15958405,410.1047134,-371.5958405
It,37.58261108,-27.45734024,375.8261108,-274.5734024
may,15.66421032,-17.22331619,156.6421032,-172.2331619
sound,15.69605541,15.399436,156.9605541,153.99436
like,-25.29620743,-25.30585861,-252.9620743,-253.0585861
much,14.23828888,-17.10808182,142.3828888,-171.0808182
perhaps,5.877394676,8.473672867,58.77394676,84.73672867
difference,24.23509789,-30.81888962,242.3509789,-308.1888962
early,-4.88643074,-37.04361725,-48.8643074,-370.4361725
spring,12.11754417,-33.96879578,121.1754417,-339.6879578
day,15.67087173,-23.06998634,156.7087173,-230.6998634
But,21.75741386,-7.991417885,217.5741386,-79.91417885
world,-15.09419632,1.241252303,-150.9419632,12.41252303
live,-27.51419449,-27.09993172,-275.1419449,-270.9993172
climate,33.13938522,33.92092133,331.3938522,339.2092133
experts,21.52931976,14.22055244,215.2931976,142.2055244
project,-24.48877907,7.201931,-244.8877907,72.01931
least,17.32422829,-16.23924255,173.2422829,-162.3924255
